sample	Chromosome	Start.bp	End.bp	n_probes	length	seg_sigma	W	copy_ratio	modal_cn	expected_cn	subclonal	cancer_cell_frac	ccf_ci95_low	ccf_ci95_high	hz
SRP055730	1	39634026	41602653	91	1968627	0.0131	0.00072	0.5006	2	2	1	0.38	0.14411	0.60415	0
SRP055730	1	41690762	42525615	10	834853	0.03953	3e-04	0.34086	1	1.00004	0	1	1	1	0
SRP055730	1	42637388	47652861	200	5015473	0.00884	0.00183	0.49217	2	2	1	0.32	0.11415	0.51347	0
SRP055730	1	47991894	50783632	28	2791738	0.02362	0.00102	0.35405	1	1	1	0.68	0.36482	0.94023	0
SRP055730	1	50874969	53482770	80	2607801	0.01398	0.00095	0.54229	3	3	1	0.68	0.43568	0.90356	0
SRP055730	1	53521798	54149053	13	627255	0.03467	0.00023	0.38645	2	1.96363	1	0.44	0.09325	0.81578	0
SRP055730	1	54248524	55418251	39	1169727	0.02002	0.00043	0.50384	2	2.00003	1	0.4	0.12433	0.67626	0
SRP055730	1	55483734	62015635	88	6531901	0.01333	0.00238	0.35939	1	1	1	0.64	0.40023	0.86327	0
SRP055730	1	62152816	62705486	17	552670	0.03032	2e-04	0.5966	3	3	0	1	1	1	0
SRP055730	1	62736954	70716061	164	7979107	0.00976	0.00291	0.41504	2	2	1	0.24	0.04999	0.44038	0
SRP055730	1	71174034	75960864	51	4786830	0.0175	0.00175	0.35273	1	1	1	0.69	0.41818	0.92598	0
SRP055730	1	76086762	76381394	15	294632	0.03227	0.00011	0.53937	3	2.9995	1	0.66	0.28428	0.94975	0
SRP055730	1	77578366	78130796	12	552430	0.03608	2e-04	0.44363	2	2	0	1	1	1	0
SRP055730	1	78170155	78553467	25	383312	0.025	0.00014	0.56442	3	3	0	1	1	1	0
SRP055730	1	78614809	82455975	38	3841166	0.02028	0.0014	0.35489	1	1	1	0.67	0.38294	0.92611	0
SRP055730	1	84360345	87525280	97	3164935	0.01269	0.00115	0.41321	2	2	1	0.25	0.04943	0.47471	0
SRP055730	1	89122334	92222073	88	3099739	0.01333	0.00113	0.41918	2	2	0	0.21	0.03251	0.43778	0
SRP055730	1	92482892	104316443	259	11833551	0.00777	0.00432	0.4295	2	2	0	1	1	1	0
SRP055730	1	104452308	108238435	20	3786127	0.02795	0.00138	0.32652	1	1	0	1	1	1	0
SRP055730	1	108299626	109483121	49	1183495	0.01786	0.00043	0.44237	2	2	0	1	1	1	0
SRP055730	1	109500257	109749738	16	249481	0.03125	9e-05	0.60602	3	3	0	1	1	1	0
SRP055730	1	109764442	112315032	99	2550590	0.01256	0.00093	0.4042	2	2	1	0.32	0.09179	0.5377	0
SRP055730	1	112948706	114501594	55	1552888	0.01685	0.00057	0.50903	2	2.00035	1	0.44	0.17776	0.69109	0
SRP055730	1	114947495	115166487	12	218992	0.03608	8e-05	0.54739	3	2.99987	0	0.71	0.31113	0.97013	0
SRP055730	1	115192351	121207066	153	6014715	0.01011	0.00219	0.3904	2	2	1	0.41	0.2001	0.61929	0
SRP055730	1	142633037	149911771	617	7278734	0.00503	0.00266	0.4155	2	2	1	0.23	0.06397	0.40338	0
SRP055730	1	149919309	151649196	108	1729887	0.01203	0.00063	0.57888	3	3	0	1	1	1	0
SRP055730	1	151671731	153514970	102	1843239	0.01238	0.00067	0.39558	2	2	1	0.38	0.14813	0.59818	0
SRP055730	1	153531647	153951567	30	419920	0.02282	0.00015	0.53043	3	2.9991	1	0.59	0.28826	0.87869	0
SRP055730	1	153959166	154121220	13	162054	0.03467	6e-05	0.69831	4	4	0	0.8	0.39938	0.98277	0
SRP055730	1	154136581	155739466	108	1602885	0.01203	0.00058	0.50815	2	2.00002	1	0.43	0.20426	0.65069	0
SRP055730	1	155828004	156775973	57	947969	0.01656	0.00035	0.53419	3	3	1	0.62	0.35951	0.86678	0
SRP055730	1	156799055	160813078	174	4014023	0.00948	0.00146	0.40018	2	2	1	0.34	0.13522	0.54469	0
SRP055730	1	160834148	161384627	35	550479	0.02113	2e-04	0.54716	3	3	1	0.71	0.41914	0.95272	0
SRP055730	1	161448169	162367209	31	919040	0.02245	0.00034	0.39698	2	1.99999	1	0.37	0.08735	0.6596	0
SRP055730	1	162602260	165630971	35	3028711	0.02113	0.00111	0.36182	1	1.00002	1	0.62	0.32748	0.89276	0
SRP055730	1	165801663	173611276	195	7809613	0.00895	0.00285	0.4141	2	2	1	0.24	0.05601	0.44133	0
SRP055730	1	173669631	174200316	21	530685	0.02728	0.00019	0.58202	3	3	0	1	1	1	0
SRP055730	1	174226119	201897058	533	27670939	0.00541	0.0101	0.39489	2	2	1	0.38	0.20068	0.55409	0
SRP055730	1	202115626	212933678	297	10818052	0.00725	0.00395	0.41504	2	2	1	0.24	0.05755	0.42249	0
SRP055730	1	213122868	219960505	100	6837637	0.0125	0.00249	0.34778	1	1	1	0.72	0.48927	0.93053	0
SRP055730	1	220299451	221012786	25	713335	0.025	0.00026	0.43342	2	2	0	1	1	1	0
SRP055730	1	222669948	224193629	52	1523681	0.01733	0.00056	0.4364	2	2	0	1	1	1	0
SRP055730	1	224215399	224645762	14	430363	0.03341	0.00016	0.61078	3	3	0	1	1	1	0
SRP055730	1	224750003	226055912	36	1305909	0.02083	0.00048	0.43895	2	2	0	1	1	1	0
SRP055730	1	226085536	226479809	11	394273	0.03769	0.00014	0.62552	3	3.00002	0	0.28	0.03406	0.6846	0
SRP055730	1	226518133	229451731	72	2933598	0.01473	0.00107	0.41868	2	2	0	0.21	0.03226	0.45155	0
SRP055730	1	229515175	229722291	12	207116	0.03608	8e-05	0.55051	3	2.99995	0	0.74	0.33171	0.97442	0
SRP055730	1	229750731	235143989	100	5393258	0.0125	0.00197	0.41281	2	2	1	0.25	0.05125	0.47613	0
SRP055730	1	235284503	235718472	19	433969	0.02868	0.00016	0.61918	3	3	0	0.23	0.02966	0.57513	0
SRP055730	1	235803311	238051786	101	2248475	0.01244	0.00082	0.44179	2	2	0	1	1	1	0
SRP055730	1	240103883	249220986	214	9117103	0.00854	0.00333	0.43944	2	2	0	1	1	1	0
SRP055730	10	76781	893239	18	816458	0.02946	3e-04	0.35373	1	1.00003	1	0.68	0.32488	0.95353	0
SRP055730	10	3043282	8526453	104	5483171	0.01226	0.002	0.39448	2	2	1	0.39	0.1564	0.60529	0
SRP055730	10	8723922	11632820	18	2908898	0.02946	0.00106	0.2881	1	1	0	1	1	1	0
SRP055730	10	12194583	17127905	102	4933322	0.01238	0.0018	0.43634	2	2	0	1	1	1	0
SRP055730	10	17147349	17639074	13	491725	0.03467	0.00018	0.58941	3	3	0	1	1	1	0
SRP055730	10	17686253	24323229	112	6636976	0.01181	0.00242	0.38391	2	1.99797	1	0.46	0.23448	0.6781	0
SRP055730	10	24505988	27347694	64	2841706	0.01562	0.00104	0.58566	3	3	0	1	1	1	0
SRP055730	10	27359809	27529695	16	169886	0.03125	6e-05	0.82258	5	4.99995	1	0.69	0.32715	0.96125	0
SRP055730	10	27536008	28938749	33	1402741	0.02176	0.00051	0.58384	3	3	0	1	1	1	0
SRP055730	10	29655140	34869405	93	5214265	0.01296	0.0019	0.58065	3	3	0	1	1	1	0
SRP055730	10	35729147	43718532	123	7989385	0.01127	0.00292	0.57285	3	3	0	1	1	1	0
SRP055730	10	44076853	46675094	70	2598241	0.01494	0.00095	0.56724	3	3	0	1	1	1	0
SRP055730	10	46916247	64713933	347	17797686	0.00671	0.00649	0.51725	2	2.21893	1	0.5	0.30696	0.67869	0
SRP055730	10	64884106	65398529	17	514423	0.03032	0.00019	0.63628	3	3.00004	1	0.35	0.06002	0.70321	0
SRP055730	10	65540384	69467015	22	3926631	0.02665	0.00143	0.46276	2	2	0	1	1	1	0
SRP055730	10	69537966	71120106	82	1582140	0.0138	0.00058	0.83482	5	5	1	0.78	0.53983	0.96826	0
SRP055730	10	71140572	71796797	13	656225	0.03467	0.00024	0.51944	2	2.44363	1	0.51	0.14139	0.87424	0
SRP055730	10	71865905	72358323	14	492418	0.03341	0.00018	0.67513	4	3.99565	1	0.63	0.25426	0.94223	0
SRP055730	10	72441997	73550738	23	1108741	0.02606	4e-04	0.47603	2	2	0	1	1	1	0
SRP055730	10	73559865	77005647	123	3445782	0.01127	0.00126	0.67023	4	4	1	0.6	0.37524	0.81102	0
SRP055730	10	77087702	79443813	19	2356111	0.02868	0.00086	0.44299	2	2	0	1	1	1	0
SRP055730	10	79492249	79803730	15	311481	0.03227	0.00011	0.67485	4	3.99661	1	0.63	0.26024	0.93895	0
SRP055730	10	79921038	88003185	84	8082147	0.01364	0.00295	0.49877	2	2	1	0.36	0.12862	0.59476	0
SRP055730	10	88151691	88980200	34	828509	0.02144	3e-04	0.65267	3	3.01801	1	0.47	0.17985	0.75639	0
SRP055730	10	88990561	91526388	78	2535827	0.01415	0.00093	0.50629	2	2.00001	1	0.42	0.17656	0.65238	0
SRP055730	10	91607668	93764475	38	2156807	0.02028	0.00079	0.34691	1	1	1	0.73	0.43938	0.9574	0
SRP055730	10	93772281	94497789	23	725508	0.02606	0.00026	0.5038	2	2.00031	1	0.4	0.09641	0.71872	0
SRP055730	10	94610386	95165304	21	554918	0.02728	2e-04	0.38873	2	1.99603	1	0.43	0.10945	0.75211	0
SRP055730	10	95336835	96124647	36	787812	0.02083	0.00029	0.37551	1	1.17651	1	0.52	0.23187	0.80096	0
SRP055730	10	96400152	98909695	87	2509543	0.0134	0.00092	0.36441	1	1	1	0.6	0.36346	0.82884	0
SRP055730	10	98969287	99462463	25	493176	0.025	0.00018	0.47822	2	2	0	1	1	1	0
SRP055730	10	99507783	101292259	27	1784476	0.02406	0.00065	0.33521	1	1	0	1	1	1	0
SRP055730	10	101404937	105249451	159	3844514	0.00991	0.0014	0.68219	4	4	1	0.68	0.47088	0.88559	0
SRP055730	10	105319765	120661928	242	15342163	0.00804	0.0056	0.50699	2	2	1	0.42	0.22384	0.61436	0
SRP055730	10	120738878	120932547	14	193669	0.03341	7e-05	0.83615	5	5	1	0.79	0.40148	0.98166	0
SRP055730	10	121036001	121691178	25	655177	0.025	0.00024	0.51428	2	2.06385	1	0.48	0.16198	0.78516	0
SRP055730	10	121752087	123534686	22	1782599	0.02665	0.00065	0.3872	2	1.99262	1	0.44	0.12052	0.75851	0
SRP055730	10	123936776	126411504	73	2474728	0.01463	9e-04	0.38878	2	1.99996	1	0.43	0.18051	0.66296	0
SRP055730	10	126646159	129970362	75	3324203	0.01443	0.00121	0.39745	2	2	1	0.36	0.12293	0.59924	0
SRP055730	10	133751018	135506852	52	1755834	0.01733	0.00064	0.42544	2	2	0	1	1	1	0
SRP055730	11	266316	995339	29	729023	0.02321	0.00027	0.79572	4	4.25873	1	0.5	0.1958	0.79687	0
SRP055730	11	1007505	1558686	32	551181	0.0221	2e-04	0.59162	3	3	0	1	1	1	0
SRP055730	11	1746789	3695796	43	1949007	0.01906	0.00071	0.61537	3	3	0	0.2	0.02822	0.47707	0
SRP055730	11	3709406	4152158	18	442752	0.02946	0.00016	0.85319	5	5	1	0.91	0.5365	1	0
SRP055730	11	4194001	5552044	66	1358043	0.01539	5e-04	0.53922	3	3	1	0.66	0.40367	0.89228	0
SRP055730	11	5579827	5738703	11	158876	0.03769	6e-05	0.72283	4	4	0	0.98	0.51777	1	0
SRP055730	11	5753295	9191036	137	3437741	0.01068	0.00125	0.51048	2	2.00016	1	0.45	0.23052	0.65803	0
SRP055730	11	9201820	9708679	19	506859	0.02868	0.00018	0.69826	4	4	0	0.8	0.44488	0.98192	0
SRP055730	11	9747521	10872114	39	1124593	0.02002	0.00041	0.48098	2	2	0	0.24	0.03458	0.51538	0
SRP055730	11	11036446	14292634	52	3256188	0.01733	0.00119	0.36911	1	1.00081	1	0.57	0.30199	0.82236	0
SRP055730	11	14310299	14538409	10	228110	0.03953	8e-05	0.48466	2	2.00003	0	1	1	1	0
SRP055730	11	14603655	15239778	14	636123	0.03341	0.00023	0.35042	1	1.00005	0	0.7	0.31907	0.96558	0
SRP055730	11	15391262	16835077	12	1443815	0.03608	0.00053	0.21524	0	0.00475	1	0.67	0.27401	0.96044	1
SRP055730	11	17084560	17342247	16	257687	0.03125	9e-05	0.42294	2	2	0	1	1	1	0
SRP055730	11	17413650	18046677	19	633027	0.02868	0.00023	0.23605	1	0.74177	1	0.52	0.18372	0.85278	0
SRP055730	11	18052801	18704977	38	652176	0.02028	0.00024	0.36963	1	1.00331	1	0.56	0.27764	0.83801	0
SRP055730	11	18729501	19257739	21	528238	0.02728	0.00019	0.27294	1	1	0	0.26	0.03508	0.59078	0
SRP055730	11	19937626	28331954	94	8394328	0.01289	0.00306	0.30645	1	1	0	1	1	1	0
SRP055730	11	28465629	30877091	13	2411462	0.03467	0.00088	0.20424	0	6e-05	1	0.75	0.35741	0.97668	1
SRP055730	11	30917761	32471461	27	1553700	0.02406	0.00057	0.26717	1	1	1	0.3	0.0497	0.60651	0
SRP055730	11	32560759	33364816	34	804057	0.02144	0.00029	0.3654	1	1.00029	1	0.59	0.29984	0.87269	0
SRP055730	11	33369516	36642514	68	3272998	0.01516	0.00119	0.27203	1	1	1	0.27	0.05124	0.5077	0
SRP055730	11	36752610	43103555	20	6350945	0.02795	0.00232	0.19983	0	0	1	0.79	0.43723	0.97962	1
SRP055730	11	43311254	44120562	25	809308	0.025	3e-04	0.29526	1	1	0	1	1	1	0
SRP055730	11	44150978	45797113	16	1646135	0.03125	6e-04	0.22892	0	0.15826	1	0.58	0.21482	0.90458	1
SRP055730	11	45884311	46452210	16	567899	0.03125	0.00021	0.39448	2	1.9991	1	0.39	0.07177	0.73958	0
SRP055730	11	46514439	47622149	58	1107710	0.01641	4e-04	0.51282	2	2.00741	1	0.47	0.20731	0.71532	0
SRP055730	11	47646172	47894200	20	248028	0.02795	9e-05	0.65794	3	3.31371	1	0.51	0.17449	0.83536	0
SRP055730	11	48030551	57213931	211	9183380	0.00861	0.00335	0.37875	2	1.68539	1	0.5	0.29407	0.69261	0
SRP055730	11	57247744	57665817	21	418073	0.02728	0.00015	0.51664	2	2.20822	1	0.49	0.16377	0.81614	0
SRP055730	11	57761208	59200481	44	1439273	0.01884	0.00053	0.34289	1	1	0	0.76	0.47776	0.96631	0
SRP055730	11	59217950	62313851	137	3095901	0.01068	0.00113	0.48298	2	2	1	0.25	0.05491	0.46082	0
SRP055730	11	62332783	62665485	40	332702	0.01976	0.00012	0.68455	4	4	1	0.7	0.41748	0.94348	0
SRP055730	11	62713338	63342497	21	629159	0.02728	0.00023	0.52469	3	2.93244	1	0.55	0.21736	0.86769	0
SRP055730	11	63624890	67003015	153	3378125	0.01011	0.00123	0.52633	3	2.99989	1	0.56	0.34841	0.76794	0
SRP055730	11	67013093	67178852	10	165759	0.03953	6e-05	0.29026	1	1	0	1	1	1	0
SRP055730	11	67196330	73213765	154	6017435	0.01007	0.0022	0.5766	3	3	0	1	1	1	0
SRP055730	11	73331969	73684014	10	352045	0.03953	0.00013	0.78151	4	4.00575	1	0.4	0.06233	0.80651	0
SRP055730	11	73700671	77108794	91	3408123	0.0131	0.00124	0.53795	3	3	1	0.65	0.41084	0.87029	0
SRP055730	11	77223588	77860314	21	636726	0.02728	0.00023	0.70556	4	4	0	0.85	0.50224	0.98746	0
SRP055730	11	77901252	86605025	114	8703773	0.01171	0.00318	0.50123	2	2	1	0.38	0.15755	0.59867	0
SRP055730	11	86937536	89770475	79	2832939	0.01406	0.00103	0.47157	2	2	0	1	1	1	0
SRP055730	11	89876188	93372997	51	3496809	0.0175	0.00128	0.45343	2	2	0	1	1	1	0
SRP055730	11	93409915	93559668	22	149753	0.02665	5e-05	0.63827	3	3.00002	1	0.37	0.0746	0.69075	0
SRP055730	11	93665494	107482278	230	13816784	0.00824	0.00504	0.47722	2	2	0	0.21	0.04028	0.40276	0
SRP055730	11	107507919	108548293	54	1040374	0.01701	0.00038	0.66192	4	3.95133	1	0.54	0.2751	0.79153	0
SRP055730	11	108557206	110045510	13	1488304	0.03467	0.00054	0.4718	2	2	0	1	1	1	0
SRP055730	11	110319864	111522937	19	1203073	0.02868	0.00044	0.46682	2	2	0	1	1	1	0
SRP055730	11	111566357	112113714	39	547357	0.02002	2e-04	0.62574	3	3	1	0.28	0.04731	0.55497	0
SRP055730	11	112132345	113277906	17	1145561	0.03032	0.00042	0.41993	2	2	0	1	1	1	0
SRP055730	11	113338347	113895869	20	557522	0.02795	2e-04	0.60179	3	3	0	1	1	1	0
SRP055730	11	113980818	116293394	28	2312576	0.02362	0.00084	0.43792	2	2	0	1	1	1	0
SRP055730	11	116502068	118413654	80	1911586	0.01398	7e-04	0.59565	3	3	0	1	1	1	0
SRP055730	11	118484700	118794762	13	310062	0.03467	0.00011	0.61537	3	3	0	1	1	1	0
SRP055730	11	118908186	119413808	35	505622	0.02113	0.00018	0.65412	3	3.04434	1	0.48	0.1917	0.76457	0
SRP055730	11	119505141	122859151	64	3354010	0.01562	0.00122	0.50026	2	2	1	0.38	0.12644	0.61935	0
SRP055730	11	123244001	134255051	214	11011050	0.00854	0.00402	0.49646	2	2	1	0.35	0.14526	0.5421	0
SRP055730	12	73682	1016138	38	942456	0.02028	0.00034	0.47396	2	2	0	1	1	1	0
SRP055730	12	1886065	2938646	28	1052581	0.02362	0.00038	0.36952	1	1.00816	1	0.56	0.25504	0.85896	0
SRP055730	12	3205359	6162159	59	2956800	0.01627	0.00108	0.3698	1	1.00096	1	0.56	0.30443	0.81024	0
SRP055730	12	6200185	8725358	141	2525173	0.01053	0.00092	0.50524	2	2	1	0.41	0.19387	0.61915	0
SRP055730	12	8914180	9200488	17	286308	0.03032	1e-04	0.54697	3	2.99999	0	0.71	0.35062	0.96542	0
SRP055730	12	9221451	19324788	258	10103337	0.00778	0.00369	0.37601	1	1.06699	1	0.52	0.31986	0.70661	0
SRP055730	12	19410376	19696339	12	285963	0.03608	1e-04	0.56157	3	3	0	1	1	1	0
SRP055730	12	19908993	22830538	78	2921545	0.01415	0.00107	0.3744	1	1.03182	1	0.53	0.28638	0.76298	0
SRP055730	12	22929211	24828051	11	1898840	0.03769	0.00069	0.29571	1	1	0	1	1	1	0
SRP055730	12	24952386	27845808	74	2893422	0.01453	0.00106	0.40127	2	2	1	0.34	0.09904	0.57266	0
SRP055730	12	28030897	31380610	67	3349713	0.01527	0.00122	0.36373	1	1	1	0.61	0.35515	0.84615	0
SRP055730	12	31429048	33026879	45	1597831	0.01863	0.00058	0.55032	3	3	1	0.74	0.45942	0.95779	0
SRP055730	12	33139096	48904250	249	15765154	0.00792	0.00575	0.38733	2	1.99999	1	0.44	0.23727	0.62616	0
SRP055730	12	48937193	51753909	134	2816716	0.0108	0.00103	0.53802	3	3	1	0.65	0.42757	0.85604	0
SRP055730	12	51777545	53216762	79	1439217	0.01406	0.00053	0.37703	1	1.28364	1	0.51	0.26818	0.74349	0
SRP055730	12	53231978	58369066	308	5137088	0.00712	0.00187	0.49866	2	2	1	0.36	0.17072	0.54794	0
SRP055730	12	58445229	62668900	25	4223671	0.025	0.00154	0.33468	1	1	0	1	1	1	0
SRP055730	12	62724671	64519535	40	1794864	0.01976	0.00065	0.42873	2	2	0	1	1	1	0
SRP055730	12	64562041	65231580	23	669539	0.02606	0.00024	0.54731	3	3	1	0.71	0.38409	0.96143	0
SRP055730	12	65249594	68940843	61	3691249	0.016	0.00135	0.40127	2	2	1	0.34	0.09195	0.58316	0
SRP055730	12	68991982	69242896	16	250914	0.03125	9e-05	0.58802	3	3	0	1	1	1	0
SRP055730	12	69259045	95265659	366	26006614	0.00653	0.00949	0.38873	2	2	1	0.43	0.23696	0.60632	0
SRP055730	12	95382326	97113164	58	1730838	0.01641	0.00063	0.51261	2	2.00619	1	0.46	0.20576	0.71377	0
SRP055730	12	97136557	98529834	12	1393277	0.03608	0.00051	0.35573	1	1.0009	0	0.66	0.26428	0.95741	0
SRP055730	12	98779205	99090516	16	311311	0.03125	0.00011	0.60058	3	3	0	1	1	1	0
SRP055730	12	99108771	100301854	17	1193083	0.03032	0.00044	0.39503	2	1.99947	1	0.38	0.07201	0.7293	0
SRP055730	12	100415649	100791791	23	376142	0.02606	0.00014	0.55495	3	3	0	0.77	0.43628	0.97603	0
SRP055730	12	100808501	101633410	22	824909	0.02665	3e-04	0.42365	2	2	0	1	1	1	0
SRP055730	12	101681067	101944138	20	263071	0.02795	1e-04	0.57956	3	3	0	1	1	1	0
SRP055730	12	102016996	105599179	108	3582183	0.01203	0.00131	0.44493	2	2	0	1	1	1	0
SRP055730	12	106522680	109073116	54	2550436	0.01701	0.00093	0.43474	2	2	0	1	1	1	0
SRP055730	12	109140362	109871328	29	730966	0.02321	0.00027	0.5575	3	3	0	0.79	0.47477	0.97821	0
SRP055730	12	109879307	110114349	11	235042	0.03769	9e-05	0.41961	2	2	0	1	1	1	0
SRP055730	12	110215567	112927747	110	2712180	0.01192	0.00099	0.61197	3	3	0	0.18	0.02676	0.40038	0
SRP055730	12	113357200	113519751	10	162551	0.03953	6e-05	0.62258	3	3.00001	0	0.26	0.03082	0.67927	0
SRP055730	12	113549203	113882839	15	333636	0.03227	0.00012	0.78162	4	4.00139	1	0.4	0.07632	0.76024	0
SRP055730	12	113992332	116518866	24	2526534	0.02552	0.00092	0.51995	3	2.59792	1	0.52	0.19639	0.82721	0
SRP055730	12	116641696	117762898	18	1121202	0.02946	0.00041	0.69085	4	4	1	0.75	0.38993	0.97322	0
SRP055730	12	118402263	118728764	13	326501	0.03467	0.00012	0.53405	3	2.99252	1	0.62	0.23202	0.93819	0
SRP055730	12	118801812	120596174	34	1794362	0.02144	0.00065	0.34306	1	1	0	0.76	0.45754	0.96902	0
SRP055730	12	120602703	123311981	114	2709278	0.01171	0.00099	0.46537	2	2	0	1	1	1	0
SRP055730	12	123647061	124185471	30	538410	0.02282	2e-04	0.49714	2	2	1	0.35	0.07725	0.64848	0
SRP055730	12	124200110	124413571	27	213461	0.02406	8e-05	0.38147	2	1.90021	1	0.48	0.16984	0.78095	0
SRP055730	12	124417473	125137615	10	720142	0.03953	0.00026	0.27064	1	0.99999	0	1	1	1	0
SRP055730	12	125277101	125600604	11	323503	0.03769	0.00012	0.48452	2	2.00002	0	1	1	1	0
SRP055730	12	125658929	129228470	20	3569541	0.02795	0.0013	0.2923	1	1	0	1	1	1	0
SRP055730	12	129695667	132234056	29	2538389	0.02321	0.00093	0.32505	1	1	0	1	1	1	0
SRP055730	12	132476928	133227045	18	750117	0.02946	0.00027	0.37245	1	1.10074	1	0.54	0.19608	0.87263	0
SRP055730	12	133236262	133773674	28	537412	0.02362	2e-04	0.48121	2	2	0	1	1	1	0
SRP055730	13	19031630	19650882	21	619252	0.02728	0.00023	0.51468	2	2.09086	1	0.48	0.15146	0.80284	0
SRP055730	13	19703022	20284222	26	581200	0.02451	0.00021	0.64525	3	3.0004	1	0.42	0.11568	0.7251	0
SRP055730	13	20496770	21476096	30	979326	0.02282	0.00036	0.6085	3	3	0	1	1	1	0
SRP055730	13	21847760	28443707	143	6595947	0.01045	0.00241	0.5553	3	3	1	0.77	0.55354	0.95607	0
SRP055730	13	28770065	41164476	237	12394411	0.00812	0.00452	0.51024	2	2.00005	1	0.45	0.24657	0.6382	0
SRP055730	13	41248815	41905442	23	656627	0.02606	0.00024	0.70039	4	4	0	0.82	0.47881	0.98348	0
SRP055730	13	41921997	45074823	58	3152826	0.01641	0.00115	0.48908	2	2	1	0.3	0.06302	0.54538	0
SRP055730	13	45143954	46074659	21	930705	0.02728	0.00034	0.66921	4	3.99171	1	0.59	0.25551	0.89883	0
SRP055730	13	46088330	49462945	68	3374615	0.01516	0.00123	0.50604	2	2.00001	1	0.42	0.16823	0.65771	0
SRP055730	13	49614847	50653500	39	1038653	0.02002	0.00038	0.6492	3	3.0013	1	0.45	0.16519	0.7216	0
SRP055730	13	50715873	52565712	33	1849839	0.02176	0.00067	0.46334	2	2	0	1	1	1	0
SRP055730	13	52590784	53378823	41	788039	0.01952	0.00029	0.64624	3	3.00013	1	0.43	0.14864	0.69696	0
SRP055730	13	53448214	73459515	113	20011301	0.01176	0.0073	0.45709	2	2	0	1	1	1	0
SRP055730	13	73874694	95710368	171	21835674	0.00956	0.00797	0.47607	2	2	0	0.2	0.03477	0.40436	0
SRP055730	13	96181136	98407220	34	2226084	0.02144	0.00081	0.50745	2	2.00054	1	0.43	0.13897	0.71207	0
SRP055730	13	99414261	111281507	151	11867246	0.01017	0.00433	0.48151	2	2	1	0.24	0.05068	0.4469	0
SRP055730	13	111518155	113904138	40	2385983	0.01976	0.00087	0.48887	2	2	1	0.29	0.0541	0.56811	0
SRP055730	13	114188406	114947181	12	758775	0.03608	0.00028	0.47958	2	2	0	1	1	1	0
